Date,AAPL,BTC-USD,CC=F,ETH-USD,GC=F,KC=F,TSLA,USDUAH=X,VNQ,^GSPC
2024-03-22,171.47035217285156,63778.76171875,8939.0,3333.68798828125,2158.10009765625,184.85000610351562,170.8300018310547,38.613033294677734,82.04023742675781,5234.18017578125
2024-03-25,170.0470733642578,69958.8125,9649.0,3590.8837890625,2174.800048828125,185.64999389648438,172.6300048828125,38.56679916381836,81.53579711914062,5218.18994140625
2024-03-26,168.91241455078125,69987.8359375,9622.0,3587.5048828125,2175.60009765625,188.0500030517578,177.6699981689453,39.0054931640625,81.20597076416016,5203.580078125
2024-03-27,172.49549865722656,69455.34375,9843.0,3500.115234375,2190.60009765625,190.64999389648438,179.8300018310547,38.949745178222656,83.30135345458984,5248.490234375
2024-03-28,170.67410278320312,70744.953125,9766.0,3561.2939453125,2217.39990234375,188.85000610351562,175.7899932861328,39.0059700012207,83.89311218261719,5254.35009765625
2024-04-01,169.2309112548828,69702.1484375,10120.0,3505.030029296875,2236.5,191.8000030517578,175.22000122070312,38.89589309692383,82.48648071289062,5243.77001953125
2024-04-02,168.0465087890625,65446.97265625,9949.0,3277.234619140625,2261.0,197.75,166.6300048828125,38.931034088134766,81.44849395751953,5205.81005859375
2024-04-03,168.8527069091797,65980.8125,9524.0,3311.44189453125,2294.39990234375,203.60000610351562,168.3800048828125,39.050437927246094,81.53579711914062,5211.490234375
2024-04-04,168.026611328125,68508.84375,9462.0,3330.04052734375,2288.800048828125,206.75,171.11000061035156,38.84907531738281,81.01194763183594,5147.2099609375
2024-04-05,168.7830352783203,67837.640625,9795.0,3318.88525390625,2325.699951171875,212.5,164.89999389648438,38.7232780456543,81.42909240722656,5204.33984375
2024-04-08,167.65835571289062,71631.359375,9895.0,3695.292724609375,2331.699951171875,211.10000610351562,172.97999572753906,38.53902053833008,82.30216217041016,5202.39013671875
2024-04-09,168.8726043701172,69139.015625,10204.0,3505.163330078125,2343.5,213.5500030517578,176.8800048828125,38.60959243774414,83.39836120605469,5209.91015625
